TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Big_Coal,1,Four Corners,11,6,400,400,400,400
Arrow,1,Big_Coal,1,ALAMITOS_7,12,6,500,500,500,500
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,6,150,150,160,150
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,6,450,450,450,450
Arrow,1,Big_Coal,1,REDONDO_5-6,15,6,250,250,250,250
Arrow,1,Big_Coal,1,REDONDO_7-8,16,6,270,270,280,280
Becker,2,Bay_Views,3,MORRO_BAY_1-2,31,6,106.28,106.28,106.28,159.99
Becker,2,Bay_Views,3,MORRO_BAY_3-4,32,6,101.11,101.11,101.11,159.98
Becker,2,Bay_Views,3,MOSS_LANDING_6,33,6,88.07,88.07,88.07,88.07
Becker,2,Bay_Views,3,MOSS_LANDING_7,34,6,88.06,88.06,88.06,88.06
Becker,2,Bay_Views,3,OAKLAND,35,6,169.17,169.17,169.17,250
Coase,3,Big_Gas,2,EL_SEGUNDO_1-2,21,6,121.33,121.33,121.33,133.16
Coase,3,Big_Gas,2,EL_SEGUNDO_3-4,22,6,111.72,111.72,111.72,111.72
Coase,3,Big_Gas,2,LONG_BEACH,23,6,144,148.43,144,144
Coase,3,Big_Gas,2,NORTH_ISLAND,24,6,181,181,201.4,181
Coase,3,Big_Gas,2,ENCINA,25,6,115.17,115.17,115.17,115.17
Coase,3,Big_Gas,2,KEARNY,26,6,249.06,249.06,249.06,249.06
Coase,3,Big_Gas,2,SOUTH_BAY,27,6,120.33,120.33,120.33,120.33
Debreu,4,Beachfront,4,COOLWATER,41,6,115.89,115.89,115.89,115.89
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,6,116.17,116.17,116.17,116.17
Debreu,4,Beachfront,4,ETIWANDA_5,43,6,260.89,260.89,260.89,260.89
Debreu,4,Beachfront,4,ELLWOOD,44,6,342.61,342.61,342.61,342.61
Debreu,4,Beachfront,4,MANDALAY_1-2,45,6,105.06,105.06,105.06,105.06
Debreu,4,Beachfront,4,MANDALAY_3,46,6,187.06,187.06,187.06,187.06
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,6,104.06,104.06,104.06,104.06
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,6,104.06,104.06,104.06,104.06
Friedman,5,Low_Fossil,7,HUMBOLDT,71,6,136.59,136.59,136.59,136.59
Friedman,5,Low_Fossil,7,HELMS,72,6,0.5,0.5,0.5,0.5
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,6,136.6,136.6,136.6,136.6
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,6,499.99,499.99,499.99,499.99
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,6,11.5,11.5,11.5,11.5
Heckman,6,Old_Timers,6,BIG_CREEK,61,6,0,0,0,0
Heckman,6,Old_Timers,6,MOHAVE_1,62,6,170,170,170,170
Heckman,6,Old_Timers,6,MOHAVE_2,63,6,171,171,171,171
Heckman,6,Old_Timers,6,HIGHGROVE,64,6,160,160,160,160
Heckman,6,Old_Timers,6,SAN_BERNARDINO,65,6,165,165,165,165
Krugman,7,East_Bay,5,PITTSBURGH_1-4,51,6,112.94,112.94,112.94,112.94
Krugman,7,East_Bay,5,PITTSBURGH_5-6,52,6,101.11,101.11,101.11,101.11
Krugman,7,East_Bay,5,PITTSBURG_7,53,6,230,230,230,230
Krugman,7,East_Bay,5,CONTRA_COSTA_4-5,54,6,218,218,160.28,218
Krugman,7,East_Bay,5,CONTRA_COSTA_6-7,55,6,108.5,108.5,108.5,108.5
Krugman,7,East_Bay,5,POTRERO_HILL,56,6,400,400,400,400
