TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Big_Gas,2,EL_SEGUNDO_1-2,21,5,57.43,57.43,57.43,57.43
Arrow,1,Big_Gas,2,EL_SEGUNDO_3-4,22,5,69.42,69.42,69.42,69.42
Arrow,1,Big_Gas,2,LONG_BEACH,23,5,89.10,89.10,89.10,89.10
Arrow,1,Big_Gas,2,NORTH_ISLAND,24,5,150.00,150.00,150.00,150.00
Arrow,1,Big_Gas,2,ENCINA,25,5,71.07,71.07,71.07,71.07
Arrow,1,Big_Gas,2,KEARNY,26,5,160.00,160.00,160.00,160.00
Arrow,1,Big_Gas,2,SOUTH_BAY,27,5,74.43,74.43,74.43,74.43
Becker,2,Low_Fossil,7,HUMBOLDT,71,5,124.55,124.55,124.55,124.55
Becker,2,Low_Fossil,7,HELMS,72,5,1.00,1.00,1.00,1.00
Becker,2,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,131.99,128.67,128.67,128.67
Becker,2,Low_Fossil,7,HUNTERS_POINT_4,74,5,199.09,199.09,200.09,199.09
Becker,2,Low_Fossil,7,DIABLO_CANYON_1,75,5,12.00,12.00,12.00,12.00
Coase,3,Old_Timers,6,BIG_CREEK,61,5,0.00,0.00,0.00,0.00
Coase,3,Old_Timers,6,MOHAVE_1,62,5,169.00,169.00,500.00,169.00
Coase,3,Old_Timers,6,MOHAVE_2,63,5,169.00,169.00,500.00,169.00
Coase,3,Old_Timers,6,HIGHGROVE,64,5,133.00,133.00,133.00,133.00
Coase,3,Old_Timers,6,SAN_BERNARDINO,65,5,145.00,145.00,145.00,500.00
Debreu,4,Beachfront,4,COOLWATER,41,5,168.88,168.88,193.76,168.88
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,5,168.89,168.89,193.77,168.89
Debreu,4,Beachfront,4,ETIWANDA_5,43,5,168.91,168.91,193.79,168.91
Debreu,4,Beachfront,4,ELLWOOD,44,5,202.88,202.88,202.88,202.88
Debreu,4,Beachfront,4,MANDALAY_1-2,45,5,168.87,168.87,193.75,168.87
Debreu,4,Beachfront,4,MANDALAY_3,46,5,168.90,168.90,193.78,168.90
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,5,168.85,100.98,100.98,100.98
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,5,168.86,168.86,193.74,168.86
Friedman,5,East_Bay,5,PITTSBURGH_1-4,51,5,108.14,108.14,108.14,108.14
Friedman,5,East_Bay,5,PITTSBURGH_5-6,52,5,96.81,96.81,96.81,96.81
Friedman,5,East_Bay,5,PITTSBURG_7,53,5,157.72,164.99,189.98,164.99
Friedman,5,East_Bay,5,CONTRA_COSTA_4-5,54,5,153.48,164.96,189.97,164.96
Friedman,5,East_Bay,5,CONTRA_COSTA_6-7,55,5,103.90,103.90,103.90,103.90
Friedman,5,East_Bay,5,POTRERO_HILL,56,5,184.63,184.63,189.99,184.63
Heckman,6,Big_Coal,1,Four Corners,11,5,90.40,94.40,115.40,90.40
Heckman,6,Big_Coal,1,ALAMITOS_7,12,5,91.00,95.00,116.00,91.00
Heckman,6,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,5,90.10,94.10,115.10,90.10
Heckman,6,Big_Coal,1,HUNTINGTON_BEACH_5,14,5,90.50,94.50,115.50,90.50
Heckman,6,Big_Coal,1,REDONDO_5-6,15,5,90.20,94.20,115.20,90.20
Heckman,6,Big_Coal,1,REDONDO_7-8,16,5,90.30,94.30,115.30,90.30
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,5,51.83,51.83,51.83,51.83
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,5,49.08,49.08,49.08,49.08
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,5,43.29,43.29,43.29,43.29
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,5,43.29,43.29,43.29,43.29
Krugman,7,Bay_Views,3,OAKLAND,35,5,82.05,82.05,82.05,82.05
Arrow,1,Big_Gas,2,EL_SEGUNDO_1-2,21,4,70.33,70.33,70.33,70.33
Arrow,1,Big_Gas,2,EL_SEGUNDO_3-4,22,4,64.72,64.72,64.72,64.72
Arrow,1,Big_Gas,2,LONG_BEACH,23,4,83.00,83.00,83.00,83.00
Arrow,1,Big_Gas,2,NORTH_ISLAND,24,4,104.00,104.00,104.00,104.00
