TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Bay_Views,3,MORRO_BAY_1-2,31,2,38.78,38.78,38.78,38.78
Arrow,1,Bay_Views,3,MORRO_BAY_3-4,32,2,36.61,36.61,36.61,36.61
Arrow,1,Bay_Views,3,MOSS_LANDING_6,33,2,32.56,32.56,32.56,32.56
Arrow,1,Bay_Views,3,MOSS_LANDING_7,34,2,32.56,32.56,32.56,32.56
Arrow,1,Bay_Views,3,OAKLAND,35,2,61.17,61.17,61.17,61.17
Becker,2,Beachfront,4,COOLWATER,41,2,42.39,43.81,43.81,43.81
Becker,2,Beachfront,4,ETIWANDA_1-4,42,2,42.67,43.82,43.82,43.82
Becker,2,Beachfront,4,ETIWANDA_5,43,2,62.89,62.89,62.89,62.89
Becker,2,Beachfront,4,ELLWOOD,44,2,75.61,75.61,75.61,75.61
Becker,2,Beachfront,4,MANDALAY_1-2,45,2,39.49,39.06,39.06,39.06
Becker,2,Beachfront,4,MANDALAY_3,46,2,52.06,52.06,52.06,52.06
Becker,2,Beachfront,4,ORMOND_BEACH_1,47,2,38.06,38.06,38.06,38.06
Becker,2,Beachfront,4,ORMOND_BEACH_2,48,2,38.06,38.06,38.06,38.06
Coase,3,Low_Fossil,7,HUMBOLDT,71,2,48.00,48.00,48.00,48.00
Coase,3,Low_Fossil,7,HELMS,72,2,0.50,0.50,0.50,0.50
Coase,3,Low_Fossil,7,HUNTERS_POINT_1-2,73,2,49.50,49.50,52.00,49.50
Coase,3,Low_Fossil,7,HUNTERS_POINT_4,74,2,75.89,75.89,75.89,75.89
Coase,3,Low_Fossil,7,DIABLO_CANYON_1,75,2,11.50,11.50,11.50,11.50
Debreu,4,Old_Timers,6,BIG_CREEK,61,2,1.50,1.50,1.50,1.50
Debreu,4,Old_Timers,6,MOHAVE_1,62,2,34.50,34.50,34.50,34.50
Debreu,4,Old_Timers,6,MOHAVE_2,63,2,34.50,34.50,34.50,34.50
Debreu,4,Old_Timers,6,HIGHGROVE,64,2,49.61,49.61,49.61,49.61
Debreu,4,Old_Timers,6,SAN_BERNARDINO,65,2,53.94,53.94,53.94,53.94
Friedman,5,Big_Coal,1,Four Corners,11,2,36.50,36.50,36.50,36.50
Friedman,5,Big_Coal,1,ALAMITOS_7,12,2,73.72,73.72,73.72,73.72
Friedman,5,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,41.14,40.50,40.50,40.50
Friedman,5,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,66.50,66.50,66.50,66.50
Friedman,5,Big_Coal,1,REDONDO_5-6,15,2,41.94,42.20,52.05,42.36
Friedman,5,Big_Coal,1,REDONDO_7-8,16,2,41.94,42.21,41.94,42.37
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,2,40.94,42.00,47.00,41.68
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,2,36.61,36.61,36.61,36.61
Heckman,6,East_Bay,5,PITTSBURG_7,53,2,59.72,59.72,59.72,59.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,2,58.28,58.28,58.28,58.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,2,40.49,39.50,39.50,39.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,2,69.83,69.83,69.83,69.83
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,2,44.83,44.83,47.43,44.83
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,2,41.11,41.93,41.93,41.93
Krugman,7,Big_Gas,2,LONG_BEACH,23,2,52.50,52.50,52.50,52.50
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,2,65.50,65.50,65.50,65.50
Krugman,7,Big_Gas,2,ENCINA,25,2,41.67,41.93,41.93,41.93
Krugman,7,Big_Gas,2,KEARNY,26,2,90.06,90.06,90.06,90.06
Krugman,7,Big_Gas,2,SOUTH_BAY,27,2,43.83,43.83,47.43,43.83
Arrow,1,Bay_Views,3,MORRO_BAY_1-2,31,1,39.05,42.38,44.50,42.00
Arrow,1,Bay_Views,3,MORRO_BAY_3-4,32,1,39.05,42.38,44.50,42.00
Arrow,1,Bay_Views,3,MOSS_LANDING_6,33,1,39.05,42.38,44.50,42.00
Arrow,1,Bay_Views,3,MOSS_LANDING_7,34,1,39.05,42.38,44.83,42.00
Arrow,1,Bay_Views,3,OAKLAND,35,1,61.17,61.17,61.17,61.17
Becker,2,Beachfront,4,COOLWATER,41,1,42.39,43.81,43.82,42.67
Becker,2,Beachfront,4,ETIWANDA_1-4,42,1,42.67,43.82,43.82,42.68
Becker,2,Beachfront,4,ETIWANDA_5,43,1,62.89,62.89,62.89,62.89
Becker,2,Beachfront,4,ELLWOOD,44,1,75.61,75.61,75.61,75.61
Becker,2,Beachfront,4,MANDALAY_1-2,45,1,39.49,41.93,43.81,41.66
Becker,2,Beachfront,4,MANDALAY_3,46,1,52.06,52.06,52.06,52.06
Becker,2,Beachfront,4,ORMOND_BEACH_1,47,1,39.48,41.92,43.81,41.65
Becker,2,Beachfront,4,ORMOND_BEACH_2,48,1,39.48,41.92,43.81,41.65
Coase,3,Low_Fossil,7,HUMBOLDT,71,1,48.44,48.44,48.44,48.44
Coase,3,Low_Fossil,7,HELMS,72,1,38.50,42.00,43.50,41.50
Coase,3,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,50.17,50.17,50.17,50.17
Coase,3,Low_Fossil,7,HUNTERS_POINT_4,74,1,76.89,76.89,76.89,76.89
Coase,3,Low_Fossil,7,DIABLO_CANYON_1,75,1,38.51,42.39,43.83,41.94
Debreu,4,Old_Timers,6,BIG_CREEK,61,1,35.00,35.00,40.00,40.00
Debreu,4,Old_Timers,6,MOHAVE_1,62,1,37.00,40.00,40.00,37.00
Debreu,4,Old_Timers,6,MOHAVE_2,63,1,37.00,40.00,40.00,37.00
Debreu,4,Old_Timers,6,HIGHGROVE,64,1,49.61,49.61,49.61,49.61
Debreu,4,Old_Timers,6,SAN_BERNARDINO,65,1,53.94,53.94,53.94,53.94
Friedman,5,Big_Coal,1,Four Corners,11,1,39.02,42.67,46.50,42.67
Friedman,5,Big_Coal,1,ALAMITOS_7,12,1,73.72,73.72,73.72,73.72
Friedman,5,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,40.50,43.71,47.30,43.71
Friedman,5,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,66.50,66.50,66.50,66.50
Friedman,5,Big_Coal,1,REDONDO_5-6,15,1,41.94,43.72,47.31,43.71
Friedman,5,Big_Coal,1,REDONDO_7-8,16,1,41.94,43.73,47.32,43.72
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,1,41.21,42.39,43.83,41.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,1,38.06,42.39,43.83,41.94
Heckman,6,East_Bay,5,PITTSBURG_7,53,1,61.17,61.17,61.17,61.17
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,1,61.16,61.16,61.16,61.16
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,1,40.49,42.39,43.83,41.94
Heckman,6,East_Bay,5,POTRERO_HILL,56,1,72.22,72.22,72.22,72.22
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,1,44.83,47.43,47.43,44.83
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,1,41.67,41.93,47.43,41.93
Krugman,7,Big_Gas,2,LONG_BEACH,23,1,52.50,52.50,52.50,52.50
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,1,65.50,65.50,65.50,65.50
Krugman,7,Big_Gas,2,ENCINA,25,1,41.67,41.93,47.43,41.93
Krugman,7,Big_Gas,2,KEARNY,26,1,90.06,90.06,90.06,90.06
Krugman,7,Big_Gas,2,SOUTH_BAY,27,1,43.83,47.43,47.43,43.83
